"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/ac15fda0-dec7-4579-83b2-4783997a5c20___1aef397b21bafabc007da297fbb16379.jpg","image/jpeg","168407","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/359553/00784-068-2721-1.png?v=639082422009770000","image/png","469274","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/359581/00784-069-4023-1.png?v=639082422087200000","image/png","302519","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/321745/00671-002-2560-1.png?v=638950274212970000","image/png","353587","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/323231/00784-016-2805-1.png?v=638950274324000000","image/png","403397","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/362385/45296-001-3600-1.png?v=639090212339200000","image/png","393964","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/350338/02680-302-9980-1.png?v=638951154984830000","image/png","212160","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/290371/02083-001-4642-1.png?v=638781763636800000","image/png","403525","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/350432/02451-012-1120-1.png?v=638951155279530000","image/png","211248","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/362423/41380-001-5143-1.png?v=639093678715570000","image/png","413564","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/362401/45297-001-3223-1.png?v=639090212385830000","image/png","471313","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/290665/02527-009-5100-1.png?v=638781763704170000","image/png","359657","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/b0546fbe-20cd-4a95-9798-c32a5b3b5985___b1234a0cb0e0589b352ec73c14dbb90e.jpg","image/jpeg","251022","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/e7a19304-10e3-4947-be31-59b1972807a5___8678ce495f554e844bbd40c7efa76278.jpg","image/jpeg","248747","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/24156be0-7d96-48ad-93a4-0d5e4875d05f___bd3fe31c09884cec4786d77acbb8903c.jpg","image/jpeg","219860","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/322273/00436-002-8770-1.png?v=638950274253000000","image/png","371955","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/323586-400-auto?v=638950274352430000&width=400&height=auto&aspect=true","image/png","76137","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/322764-400-auto?v=638950274287000000&width=400&height=auto&aspect=true","image/png","88017","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/322790-400-auto?v=639038151132170000&width=400&height=auto&aspect=true","image/png","99703","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/322826-400-auto?v=639038151132170000&width=400&height=auto&aspect=true","image/png","108021","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/332758-400-auto?v=638950275021500000&width=400&height=auto&aspect=true","image/png","97853","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/341752/00380-001-9990-1.png?v=638950275683000000","image/png","252270","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/343537/00111-089-0934-1.png?v=638950275819330000","image/png","411423","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/344865/00361-002-8820-1.png?v=638950275925270000","image/png","209052","2","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/ec13c5ca-fdbc-4289-b8b0-f8f1051bc685___3fcf0963c5630f50899586a435890d5b.jpg","image/jpeg","183110","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/337896/00141-003-1110-1.png?v=638950275388100000","image/png","190332","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/1fc8cce4-f6ed-4222-9d9b-ed1802f5cdfa___c343e07294bb1b13fc02266ff9d1ec08.jpg","image/jpeg","272591","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/332261-400-auto?v=638950274986900000&width=400&height=auto&aspect=true","image/png","32833","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/331808-400-auto?v=639104890943500000&width=400&height=auto&aspect=true","image/png","100695","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/321929-400-auto?v=638950274227470000&width=400&height=auto&aspect=true","image/png","113551","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/8803bd44-14ad-4e5f-bf62-c944e14389a3___4eca40a086826a89e7aeca9d8b46ee5d.jpg","image/jpeg","205493","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/3acfac58-11cd-425d-ba6b-562119c244f7___affc4c0bfa4945433d4742f4a49fcf42.jpg","image/jpeg","178886","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355185/20647-001-2805-1.png?v=639063523647200000","image/png","324471","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/351175/20608-001-5360-1.png?v=638985558578470000","image/png","355140","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/350816/20673-900-1110-1.png?v=638956328793970000","image/png","547795","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/351328/20620-001-4021-1.png?v=638985558916800000","image/png","362756","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/351274/20614-001-9990-1.png?v=638985558793400000","image/png","348087","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355161/20646-001-8000-1.png?v=639063523586770000","image/png","347361","2","Indexable","",""
