Relatório de locais
Todo o período
Local,Campanha,Grupo de anúncios,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Conversões,Custo / conv.
"2,0|km|(26.637151, -81.980986) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"6136,00",5,1,"20,00%","30,68","30,68","0,00%","0,00","0,00"
"2,0|km|(26.591541, -81.987877) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.685628, -82.002272) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"5,0|mi|Bonita Springs, Flórida",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"513,74",211,6,"2,84%","18,07","108,40","0,00%","0,00","0,00"
"2,0|km|(26.578646, -82.008133) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",10,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"18,28",90,0,"0,00%",0,"1,65","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"0,00",55,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.085463, -81.767464) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.099458, -81.723863) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"4110,59",17,1,"5,88%","69,88","69,88","0,00%","0,00","0,00"
"San Carlos Park, Flórida, Estados Unidos",Campanha 1, --,USD,"0,00",11,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Punta Gorda, Flórida, Estados Unidos",KITCHEN AND BATHROOMS, --,USD,"243,60",25,2,"8,00%","3,05","6,09","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1356,80",94,8,"8,51%","15,94","127,54","0,00%","0,00","0,00"
"Buckingham, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Naples, Flórida, Estados Unidos",KITCHEN AND BATHROOMS, --,USD,"421,09",96,6,"6,25%","6,74","40,42","0,00%","0,00","0,00"
"Fort Myers Beach, Flórida, Estados Unidos",Campanha 1, --,USD,"0,00",13,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Central Naples, Florida, United States",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",Campanha 1, --,USD,"290,79",995,22,"2,21%","13,15","289,34","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",Leads-Search-MIKE, --,USD,"0,00",4,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.188407, -81.718712) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",Search - Mike Renovations, --,USD,"131,90",2.682,284,"10,59%","1,25","353,75","0,00%","0,00","0,00"
"20,0|mi|Fort Myers, Flórida",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"744,04",575,27,"4,70%","15,85","427,82","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",Leads-Search-5, --,USD,"25,93",8.813,87,"0,99%","2,63","228,51","0,00%","0,00","0,00"
"34108, Flórida, Estados Unidos",[V4] | Kitchen l Campeões #2, --,USD,"0,00",26,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.692376, -82.044157) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.513535, -81.946955) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.658630, -82.067503) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.673357, -82.052740) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.479122, -81.984721) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"10,0|mi|Fort Myers, Flórida",[V4] Search | Leads | Home Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
