Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Calls from Smart Campaign Ads,,,Total: Palavras-chave na sua conta,,,,,,,0,0,0, --,0,0,0, --,"1,00",0,0
,,,Total: Suas palavras-chave,,,,,,USD,"711,93",94.041,5.646,"6,00%","11,86","66950,40",5.646,"2,94%","166,00","11,86","403,32"
Calls from Smart Campaign Ads,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"1,00",0,0
Business profile - Call,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Tracked call,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Book Estimate,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form submit,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 35seg,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"15,00",0,0
Agendamento | Site,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"7,00",0,0
Calls from ads,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"26,00",0,0
mikerenovations.com (web) generate_lead,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Envio de Formulário - Site,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"16,00",0,0
V4 - Envio de Formulário,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"51,00",0,0
Sessão 45seg,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"20,00",0,0
Business profile - Form,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 40seg,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"17,00",0,0
Clique no Botão de Ligação,,,Total: Suas palavras-chave,,,,,,,0,0,0, --,0,0,0, --,"13,00",0,0
,,,Total: Correspondências expandidas da AI Max,,,,,,USD,"542,76",1.686,100,"5,93%","9,15","915,10",100,"2,00%","2,00","9,15","457,55"
Envio de Formulário - Site,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from ads,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
mikerenovations.com (web) generate_lead,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
V4 - Envio de Formulário,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Call,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Tracked call,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 40seg,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Clique no Botão de Ligação,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"2,00",0,0
Sessão 45seg,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Book Estimate,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from Smart Campaign Ads,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 35seg,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Agendamento | Site,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form submit,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form,,,Total: Correspondências expandidas da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
