"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://lolaaviamentos.com.br/entretela-de-memoria/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","880a5281c1bc9f39e50977dde2ac9c31","51","https://www.lolaaviamentos.com.br/entretela-de-memoria/","https://lolaaviamentos.com.br/entretela-de-memoria/"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","text/html; charset=UTF-8","200","OK","Indexable","","767b12620703111dc32f756bf2c60592","61","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/"
"https://www.lolaaviamentos.com.br/account/login/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","48","","https://www.lolaaviamentos.com.br/account/login/"
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","text/html; charset=UTF-8","200","OK","Indexable","","80db5e2ccb44c73c21c346a44fa623bb","106","https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/"
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/","text/html; charset=UTF-8","200","OK","Indexable","","5e317fa215fccf2900a4ec72d5c53ed","98","https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/","https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/"
"https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","text/html; charset=UTF-8","200","OK","Indexable","","ce1a47be05c20e8eb8328b5ef823656a","72","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/"
"https://www.lolaaviamentos.com.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","application/javascript","200","OK","Indexable","","","96","","https://www.lolaaviamentos.com.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js"
"https://www.lolaaviamentos.com.br/bordado1/filmes/","text/html; charset=UTF-8","200","OK","Indexable","","f6a607bcdf1a9b43b6064293deafa763","50","https://www.lolaaviamentos.com.br/bordado1/filmes/","https://www.lolaaviamentos.com.br/bordado1/filmes/"
"https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","text/html; charset=UTF-8","200","OK","Indexable","","c3560532986f18071a9821af455d4ce4","57","https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/"
"https://www.lolaaviamentos.com.br/bordado1/toque-macio/","text/html; charset=UTF-8","200","OK","Indexable","","16e59c3ced80be047dfab169655ec519","55","https://www.lolaaviamentos.com.br/bordado1/toque-macio/","https://www.lolaaviamentos.com.br/bordado1/toque-macio/"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","text/html; charset=UTF-8","200","OK","Indexable","","6a8bb5bfa1c99dba2b78044b70792c12","69","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/"
"https://www.lolaaviamentos.com.br/cdn-cgi/l/email-protection","text/html","404","Not Found","Non-Indexable","Client Error","","60","","https://www.lolaaviamentos.com.br/cdn-cgi/l/email-protection"
"https://www.lolaaviamentos.com.br/bordado1/termocolante/","text/html; charset=UTF-8","200","OK","Indexable","","2b24491b745f2399de80a0f0d04e001f","56","https://www.lolaaviamentos.com.br/bordado1/termocolante/","https://www.lolaaviamentos.com.br/bordado1/termocolante/"
"https://www.lolaaviamentos.com.br/maquinas-acessorios/","text/html; charset=UTF-8","200","OK","Indexable","","1a6b134bb48665337588a083b0e75a6b","54","https://www.lolaaviamentos.com.br/maquinas-acessorios/","https://www.lolaaviamentos.com.br/maquinas-acessorios/"
"https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","text/html; charset=UTF-8","200","OK","Indexable","","399c1af815ad57782c2d9224b64c919d","58","https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","https://www.lolaaviamentos.com.br/insumos-para-bones/tela/"
"https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","text/html; charset=UTF-8","200","OK","Indexable","","760574b533cecdab6ee35f4b72d84ddc","55","https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/"
"https://www.lolaaviamentos.com.br/account/register","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","50","","https://www.lolaaviamentos.com.br/account/register"
