"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-preta-rasgavel-40g-90cm-200m/","Indexable","","2","","61","13","0","9.150","100","38","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-rasgavel-40g-90cmx-200m/","Indexable","","2","","106","25","0","17.610","124","43","0","21","12","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-rasgavel-70g-lec-70/","Indexable","","2","","85","16","0","11.270","130","43","0","24","15","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-30g-90cm-100m/","Indexable","","2","","75","14","0","9.860","129","44","0","21","12","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-30g-90cm-100m/","Indexable","","2","","73","13","0","9.150","130","44","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-20g-90cm-100m/","Indexable","","2","","79","15","0","10.560","130","44","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-40g-90cm-100m/","Indexable","","2","","97","21","0","14.790","130","44","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-50g-lepo-50/","Indexable","","2","","43","3","0","2.110","130","44","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-60g-90cm-100m/","Indexable","","2","","73","13","0","9.150","130","44","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-50g-90cm-x-100m/","Indexable","","2","","76","14","0","9.860","130","44","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-20g-90cm-100m/","Indexable","","2","","74","13","0","9.150","131","44","0","23","14","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-60g-lepo-60/","Indexable","","2","","82","16","0","11.270","130","44","0","22","13","0"
