"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/contato/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/contato/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-de-memoria/branca/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-de-memoria/branca/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/liquidacao/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/liquidacao/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/tela/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/tela/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/bordado1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/bordado1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/vies1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/vies1/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/algodao/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/algodao/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/entretela-alfaiataria/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/bordado1/filmes/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/bordado1/filmes/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/insumos-para-bones/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
